118;ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT;AMW;Work in Progress
119;WORKSHOP ON ANALYTIC ALGORITHMICS AND COMBINATORICS;ANALCO;Work in Progress
120;ARCHITECTURES FOR NETWORKING AND COMMUNICATIONS SYSTEMS;ANCS;B
121;ANALYTICS FOR NOISY UNSTRUCTURED TEXT DATA;AND;Work in Progress
122;CONFERENCE ON APPLIED NATURAL LANGUAGE PROCESSING;ANLP;Work in Progress
123;ARTIFICIAL NEURAL NETWORKS IN PATTERN RECOGNITION;ANNPR;Work in Progress
124;ANNUAL SIMULATION SYMPOSIUM;ANSS;B
125;INTERNATIONAL CONFERENCE ON AMBIENT SYSTEMS, NETWORKS AND TECHNOLOGIES;ANT;Work in Progress
126;IEEE INTERNATIONAL CONFERENCE ON ADVANCED NETWORKS AND TELECOMMUNICATIONS SYSTEMS;ANTS;Work in Progress
127;AGENT-ORIENTED INFORMATION SYSTEMS WORKSHOP;AOIS;Work in Progress
128;ACADEMY OF MANAGEMENT ANNUAL MEETING;AOMAM;Work in Progress
129;ASPECT-ORIENTED SOFTWARE DEVELOPMENT;AOSD;Not Rated (discontinued event)
130;ASIA-PACIFIC BIOINFORMATICS CONFERENCE;APBC;Work in Progress
131;ASIA PACIFIC CONFERENCE ON COMMUNICATIONS;APCC;Work in Progress
132;ASIA PACIFIC CONFERENCE ON CIRCUITS AND SYSTEMS;APCCAS;Work in Progress
133;ASIA-PACIFIC CONFERENCE ON CONCEPTUAL MODELLING;APCCM;Work in Progress
134;ASIA-PACIFIC COMPUTER AND HUMAN INTERACTION;APCHI;Work in Progress
135;APPLIED POWER ELECTRONICS CONFERENCE;APEC;Work in Progress
136;APPLIED PERCEPTION IN GRAPHICS AND VISUALIZATION;APGV;Work in Progress
137;INTERNATIONAL CONFERENCE ON APL;APL;Work in Progress
138;ASIAN SYMPOSIUM ON PROGRAMMING LANGUAGES AND SYSTEMS;APLAS;B-
139;ASIA-PACIFIC MICROWAVE CONFERENCE;APMC;Work in Progress
140;INTERNATIONAL SYMPOSIUM ON ADVANCED PACKAGING MATERIALS. PROCESSES, PROPERTIES AND INTERFACES;APMPPI;Work in Progress
141;ASIA-PACIFIC MAGNETIC RECORDING CONFERENCE;APMRC;Work in Progress
142;INTERNATIONAL CONFERENCE ON ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS;APMS;Work in Progress
143;ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM;APNOMS;Work in Progress
144;CONFERENCE OF THE ASSOCIATION OF ASIAN-PACIFIC OPERATIONAL RESEARCH SOCIETIES;APORS;Work in Progress
145;IEEE PES ASIA-PACIFIC POWER AND ENERGY ENGINEERING CONFERENCE;APPEEC;Work in Progress
146;INTERNATIONAL WORKSHOP ON APPROXIMATION ALGORITHMS FOR COMBINATORIAL OPTIMIZATION PROBLEMS;APPROX;B
147;INTERNATIONAL WORKSHOP AND INTERNATIONAL WORKSHOP ON APPROXIMATION, RANDOMIZATION, AND COMBINATORIAL OPTIMIZATION. ALGORITHMS AND TECHNIQUES;APPROX/RANDOM;Work in Progress
148;ASIA-PACIFIC SERVICES COMPUTING CONFERENCE;APSCC;Work in Progress
149;INTERNATIONAL CONFERENCE ADVANCES POWER SYSTEM CONTROL, OPERATION AND MANAGEMENT;APSCOM;Work in Progress
150;ASIA-PACIFIC SOFTWARE ENGINEERING CONFERENCE;APSEC;B
151;ASIA-PACIFIC SIGNAL AND INFORMATION PROCESSING ASSOCIATION ANNUAL SUMMIT AND CONFERENCE;APSIPA;Work in Progress
152;ASIA-PACIFIC WORKSHOP ON SYSTEMS;APSYS;Work in Progress
153;ASIA-PACIFIC WEB CONFERENCE;APWEB;Work in Progress
154;WEB AND BIG DATA;APWEB-WAIM;Work in Progress
155;INTERNATIONAL SYMPOSIUM ON ADVANCED RESEARCH IN ASYNCHRONOUS CIRCUITS AND SYSTEMS;ARACS;Work in Progress
156;APPLIED RECONFIGURABLE COMPUTING;ARC;Work in Progress
157;ARCHITECTURE OF COMPUTING SYSTEMS;ARCS;Work in Progress
158;AVAILABILITY, RELIABILITY AND SECURITY;ARES;B
159;ARFTG MICROWAVE MEASUREMENT CONFERENCE;ARFTG;Work in Progress
160;IEEE SYMPOSIUM ON COMPUTER ARITHMETIC;ARITH;Work in Progress
161;INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE AND ROBOTICS;AROB;Work in Progress
162;INTERNATIONAL CONFERENCE ON APPLIED ROBOTICS FOR POWER INDUSTRY;ARPI;Work in Progress
163;INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS ROBOTS IN UNSTRUCTURED ENVIRONMENTS;ARRUE;Work in Progress
164;ADVANCED ROBOTICS AND ITS SOCIAL IMPACTS;ARSO;Work in Progress
165;ADVANCES IN RECENT TECHNOLOGIES IN COMMUNICATION AND COMPUTING;ARTCOM;Work in Progress
166;APPLICATION-SPECIFIC SYSTEMS, ARCHITECTURES, AND PROCESSORS;ASAP;B
167;AUTOMATED SOFTWARE ENGINEERING;ASE;A
168;THE INTERNATIONAL POWER ELECTRONICS CONFERENCE - ECCE ASIA;ASIA;Work in Progress
169;ASIA CONFERENCE ON INFORMATION, COMPUTER AND COMMUNICATIONS SECURITY;ASIACCS;A
170;INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY;ASIACRYPT;A+
171;ASIAN COMPUTING SCIENCE CONFERENCE;ASIAN;Not Rated (discontinued event)
172;INTERNATIONAL CONFERENCE ON ASIC;ASICON;Work in Progress
173;INTERNATIONAL CONFERENCE ON ANTI-COUNTERFEITING, SECURITY, AND IDENTIFICATION;ASID;Work in Progress
174;ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY;ASIST;Work in Progress
175;ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE;ASMC;Work in Progress
176;ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING;ASONAM;B
177;NATIONAL CONFERENCE OF THE AUSTRALIAN SOCIETY FOR OPERATIONS RESEARCH;ASOR;Work in Progress
178;ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE;ASP-DAC;B
179;CONFERENCE ON ADVANCED SIGNAL PROCESSING : ALGORITHMS, ARCHITECTURES, AND IMPLEMENATIONS;ASPAAI;Work in Progress
180;ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS;ASPLOS;A+
181;IEEE AUTOMATIC SPEECH RECOGNITION AND UNDERSTANDING WORKSHOP;ASRU;B-
182;INTERNATIONAL ACM SIGACCESS CONFERENCE ON COMPUTERS AND ACCESSIBILITY;ASSETS;A-
183;AUTOMATION OF SOFTWARE TEST;AST;Work in Progress
184;ASIAN SEMANTIC WEB CONFERENCE;ASWC;Work in Progress
185;AUSTRALIAN SOFTWARE ENGINEERING CONFERENCE;ASWEC;Work in Progress
186;SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS;ASYNC;B-
187;AUTONOMIC AND TRUSTED COMPUTING;ATC;Work in Progress
188;ALGORITHMIC APPROACHES FOR TRANSPORTATION MODELING, OPTIMIZATION, AND SYSTEMS;ATMOS;Work in Progress
189;AUSTRALASIAN TELECOMMUNICATION NETWORKS AND APPLICATIONS CONFERENCE;ATNAC;Work in Progress
190;AMERICAN THORACIC SOCIETY INTERNATIONAL CONFERENCE;ATS;Work in Progress
191;INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES FOR SIGNAL & IMAGE PROCESSING;ATSIP;Work in Progress
192;AUTOMATED TECHNOLOGY FOR VERIFICATION AND ANALYSIS;ATVA;B-
193;AUSTRALASIAN USER INTERFACE CONFERENCE;AUIC;Work in Progress
194;AUSTRALASIAN UNIVERSITIES POWER ENGINEERING CONFERENCE;AUPEC;Work in Progress
195;AUSTRALIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE;AUS-AI;Work in Progress
196;AUSTRALASIAN DATA MINING CONFERENCE;AUSDM;Work in Progress
197;CELLULAR AUTOMATA THEORY AND APPLICATINS;AUTOMATA;Work in Progress
198;AUTOMOTIVE USER INTERFACES AND INTERACTIVE VEHICULAR APPLICATIONS;AUTOMOTIVEUI;Work in Progress
199;AUTOTESTCON;AUTOTESTCON;Work in Progress
200;IEEE/OES AUTONOMOUS UNDERWATER VEHICLES;AUV;Work in Progress
201;SYMPOSIUM ON AUTONOMOUS UNDERWATER VEHICLE TECHNOLOGY;AUVT;Work in Progress
202;ADVANCED VISUAL INTERFACES;AVI;B
203;ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE;AVSS;B
204;ATLANTIC WEB INTELLIGENCE CONFERENCE;AWIC;Work in Progress
205;INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING AND COMMUNICATIONS;ADCOM;Work in Progress
206;INTERNATIONAL CONFERENCE ON PROBABILISTIC, COMBINATORIAL, AND ASYMPTOTIC METHODS IN THE ANALYSIS OF ALGORITHMS (WAS CONFERENCE ON ANALYSIS OF ALGORITHMS);AOFA;Work in Progress
207;ARTSIT, INTERACTIVITY & GAME CREATION (WAS INTERNATIONAL CONFERENCE ON ARTS AND TECHNOLOGY);ARTSIT;Work in Progress
208;AUSTRALASIAN SYMPOSIUM ON PARALLEL AND DISTRIBUTED COMPUTING (WAS AUSGRID);AUSPDC;Work in Progress
209;IEEE/IFIP INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY FOR BALANCED AUTOMATION SYSTEMS;BASYS;Work in Progress
210;ANNUAL BATTERY CONFERENCE ON APPLICATIONS AND ADVANCES;BCAA;Work in Progress
211;ACM INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND COMPUTATIONAL BIOLOGY;BCB;Work in Progress
212;BRITISH COMPUTER SOCIETY CONFERENCE ON HUMAN-COMPUTER INTERACTION;BCS-HCI;Work in Progress
213;BIPOLAR/BICMOS CIRCUITS AND TECHNOLOGY MEETING;BCTM;Work in Progress
214;IEEE/ACM INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING, APPLICATIONS AND TECHNOLOGIES;BDCAT;Work in Progress
215;BERKELEY WORKSHOP;BERKELEY;Work in Progress
216;BIOMEDICAL AND HEALTH INFORMATICS;BHI;Work in Progress
217;BIOINFORMATICS AND BIOENGINEERING;BIBE;Work in Progress
218;BIOINFORMATICS AND BIOMEDICINE;BIBM;Work in Progress
219;ANNUAL INTERNATIONAL CONFERENCE ON BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES;BICA;Work in Progress
220;BRAIN-INSPIRED COGNITIVE SYSTEMS CONFERENCE;BICS;Work in Progress
221;IEEE INTERNATIONAL CONFERENCE ON BIG DATA;BIG DATA;B
222;INTERNATIONAL CONFERENCE ON BIG DATA AND SMART COMPUTING;BIGCOMP;Work in Progress
223;INTERNATIONAL CONGRESS ON BIG DATA;BIGDATA CONGRESS;Work in Progress
224;BIOMEDICAL CIRCUITS AND SYSTEMS CONFERENCE;BIOCAS;Work in Progress
225;INTERNATIONAL CONFERENCE ON BIOMEDICAL ELECTRONICS AND DEVICES;BIODEVICES;Work in Progress
226;INTERNATIONAL CONFERENCE ON BIOINFORMATICS;BIOINFORMATICS;Work in Progress
227;DATA MINING IN BIOINFORMATICS;BIOKDD;Work in Progress
228;BIOMEDICAL ENGINEERING;BIOMED;Work in Progress
229;IEEE INTERNATIONAL CONFERENCE ON BIOMEDICAL ROBOTICS AND BIOMECHATRONICS;BIOROB;Work in Progress
230;INTERNATIONAL CONFERENCE ON BIO-INSPIRED SYSTEMS AND SIGNAL PROCESSING;BIOSIGNALS;Work in Progress
231;INTERNATIONAL CONFERENCE ON PERSPECTIVES IN BUSINESS INFORMATICS RESEARCH;BIR;Work in Progress
232;INTERNATIONAL WORKSHOP ON BUSINESS INTELLIGENCE FOR THE REAL TIME ENTERPRISE;BIRTE;Work in Progress
233;BUSINESS INFORMATION SYSTEMS;BIS;Work in Progress
234;BLED ECONFERENCE;BLED;Work in Progress
235;BIOMEDICAL ENGINEERING AND INFORMATICS;BMEI;Work in Progress
236;INTERNATIONAL SYMPOSIUM ON BROADBAND MULTIMEDIA SYSTEMS AND BROADCASTING;BMSB;Work in Progress
237;BRITISH MACHINE VISION CONFERENCE;BMVC;A
238;BRITISH NATIONAL CONFERENCE ON DATABASES;BNCOD;Work in Progress
239;INTERNATIONAL CONFERENCE ON BODY AREA NETWORKS;BODYNETS;Work in Progress
240;BRAZILIAN POWER ELECTRONICS CONFERENCE;BPEC;Work in Progress
241;INTERNATIONAL CONFERENCE IN BUSINESS PROCESS MANAGEMENT;BPM;A
242;BROADBAND COMMUNICATIONS, NETWORKS AND SYSTEMS;BROADNETS;B-
243;BRAZILIAN SYMPOSIUM ON BIOINFORMATICS;BSB;Work in Progress
244;BIENNIAL SYMPOSIUM ON COMMUNICATIONS;BSC;Work in Progress
245;BODY SENSOR NETWORKS;BSN;Work in Progress
246;IEEE INTERNATIONAL CONFERENCE ON BIOMETRICS: THEORY, APPLICATIONS AND SYSTEMS;BTAS;A-
247;WORKSHOP ON BEYOND TIME AND ERRORS;BTE;Work in Progress
248;DATENBANKSYSTEME FÜR BUSINESS, TECHNOLOGIE UND WEB;BTW;Work in Progress
249;BROADBAND AND WIRELESS COMPUTING, COMMUNICATION AND APPLICATIONS;BWCCA;Work in Progress
250;HUMAN LANGUAGE TECHNOLOGIES - THE BALTIC PERSPECTIVE;BALTIC HLT;Work in Progress
251;CREATIVITY AND COGNITION;C&C;Work in Progress
252;COMMUNITIES AND TECHNOLOGIES;C&T;Work in Progress
253;HYPERCUBE CONCURRENT COMPUTERS AND APPLICATIONS;C3P;Work in Progress
254;CONFERENCE ON CREATING, CONNECTING AND COLLABORATING THROUGH COMPUTING;C5;Work in Progress
255;COMPUTER-AIDED ARCHITECTURAL DESIGN FUTURES;CAAD FUTURES;Work in Progress
256;ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA (CAADRIA) ANNUAL CONFERENCE;CAADRIA;Work in Progress
257;WORKSHOP ON COMBINATORIAL AND ALGORITHMIC ASPECTS OF NETWORKING;CAAN;Work in Progress
258;COLLOQUIUM ON TREES IN ALGEBRA AND PROGRAMMING;CAAP;Work in Progress
259;IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER AIDED CONTROL SYSTEM DESIGN;CACSD;Work in Progress
260;COMPUTER-AIDED DESIGN AND COMPUTER GRAPHICS;CAD/GRAPHICS;Work in Progress
261;INTERNATIONAL JOINT CONFERENCE ON AUTOMATED REASONING;CADE;A-
262;ISCA INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING;CAINE;Work in Progress
263;INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS;CAIP;B-
264;INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING;CAISE;A
265;CONFERENCE ON ALGEBRA AND COALGEBRA IN COMPUTER SCIENCE;CALCO;Work in Progress
266;COMPUTER AIDED MODELING AND DESIGN OF COMMUNICATION LINKS AND NETWORKS;CAMAD;Work in Progress
267;IEEE INTERNATIONAL WORKSHOP ON COMPUTATIONAL ADVANCES IN MULTI-SENSOR ADAPTIVE PROCESSING;CAMSAP;Work in Progress
268;CRYPTOLOGY AND NETWORK SECURITY;CANS;Work in Progress
269;SMART CARD RESEARCH AND ADVANCED APPLICATION CONFERENCE;CARDIS;B-
270;COMPUTER ASSISTED RADIOLOGY AND SURGERY;CARS;Work in Progress
271;COMPUTER ALGEBRA IN SCIENTIFIC COMPUTING;CASC;Work in Progress
272;CONFERENCE OF THE CENTRE FOR ADVANCED STUDIES ON COLLABORATIVE RESEARCH;CASCON;B
273;WORKSHOP ON COMPUTER-AIDED SOFTWARE ENGINEERING;CASE;Work in Progress
274;INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS;CASES;B
275;COMPUTATIONAL ASPECTS OF SOCIAL NETWORKS;CASON;Work in Progress
276;INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS;CATA;Work in Progress
