Title;GGS Rating
AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE;Work in Progress
AUGMENTED HUMAN INTERNATIONAL CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON ADAPTIVE HYPERMEDIA AND ADAPTIVE WEB-BASED SYSTEMS;Work in Progress
ADAPTIVE HARDWARE AND SYSTEMS;Work in Progress
CONGRESS OF THE ITALIAN ASSOCIATION FOR ARTIFICIAL INTELLIGENCE;Work in Progress
AUSTRALASIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE;Work in Progress
CONFERENCE ON ARTIFICIAL INTELLIGENCE FOR APPLICATIONS;Not Rated (discontinued event)
ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS;Work in Progress
ACS/IEEE INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS;Work in Progress
AUSTRALIAN INSTITUTE OF COMPUTER ETHICS CONFERENCE;Work in Progress
ARTIFICIAL INTELLIGENCE AND COMPUTATIONAL INTELLIGENCE;Work in Progress
ADVANCED INDUSTRIAL CONFERENCE ON TELECOMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION;B
ARTIFICIAL INTELLIGENCE AND INTERACTIVE DIGITAL ENTERTAINMENT;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS;Work in Progress
ARTIFICIAL INTELLIGENCE IN MEDICINE IN EUROPE;Work in Progress
ADVANCES IN MODAL LOGIC;Work in Progress
AUTONOMOUS INFRASTRUCTURE, MANAGEMENT AND SECURITY;Work in Progress
ARTIFICIAL INTELLIGENCE: METHODOLOGY, SYSTEMS, APPLICATIONS;Work in Progress
ADVANCED INFORMATION NETWORKING AND APPLICATIONS;B
APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE PLANNING SYSTEMS;Work in Progress
ASIA INFORMATION RETRIEVAL SYMPOSIUM;Work in Progress
ADVERSARIAL INFORMATION RETRIEVAL ON THE WEB;Work in Progress
ARTIFICIAL INTELLIGENCE AND THE SIMULATION OF BEHAVIOUR;Work in Progress
ARTIFICIAL INTELLIGENCE AND SYMBOLIC COMPUTATION;Work in Progress
AUSTRALASIAN INFORMATION SECURITY CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON ANALYSIS OF IMAGES, SOCIAL NETWORKS AND TEXTS;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS;A+
AI & SECURITY WORKSHOP;Work in Progress
ASLIB JOURNAL OF INFORMATION MANAGEMENT;Work in Progress
WORKSHOP ON ALGORITHM ENGINEERING AND EXPERIMENTS;B
ENGG WORKSHOP ON ALGORITHM ENGINEERING;Work in Progress
EUROPEAN CONFERENCE ON COMPUTER ALGEBRA;Work in Progress
ALGORITHMIC ASPECTS OF WIRELESS SENSOR NETWORKS;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE;Work in Progress
ALLERTON CONFERENCE ON COMMUNICATION, CONTROL, AND COMPUTING;Work in Progress
ALGORITHMIC LEARNING THEORY;B
AUSTRALASIAN LANGUAGE TECHOLOGY WORKSHOP;Work in Progress
ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY;Work in Progress
INTERNATIONAL WORKSHOP ON ADVANCED MOTION CONTROL;Work in Progress
AMERICAN CONTROL CONFERENCE;A
AMERICAS CONFERENCE ON INFORMATION SYSTEMS;B
ARTICULATED MOTION AND DEFORMABLE OBJECTS;Work in Progress
ANALYSIS AND MODELING OF FACES AND GESTURES;Work in Progress
AMBIENT INTELLIGENCE;Work in Progress
AMERICAN MEDICAL INFORMATICS ANNUAL FALL SYMPOSIUM;A-
ADAPTIVE MULTIMEDIA RETRIEVAL;Work in Progress
ASIA INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION;Work in Progress
AGENT AND MULTI-AGENT SYSTEMS: TECHNOLOGIES AND APPLICATIONS;Work in Progress
ACTIVE MEDIA TECHNOLOGY;Work in Progress
CONFERENCE OF THE ASSOCIATION FOR MACHINE TRANSLATION IN THE AMERICAS;Work in Progress
ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT;Work in Progress
WORKSHOP ON ANALYTIC ALGORITHMICS AND COMBINATORICS;Work in Progress
ARCHITECTURES FOR NETWORKING AND COMMUNICATIONS SYSTEMS;B
ANALYTICS FOR NOISY UNSTRUCTURED TEXT DATA;Work in Progress
CONFERENCE ON APPLIED NATURAL LANGUAGE PROCESSING;Work in Progress
ARTIFICIAL NEURAL NETWORKS IN PATTERN RECOGNITION;Work in Progress
ANNUAL SIMULATION SYMPOSIUM;B
INTERNATIONAL CONFERENCE ON AMBIENT SYSTEMS, NETWORKS AND TECHNOLOGIES;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON ADVANCED NETWORKS AND TELECOMMUNICATIONS SYSTEMS;Work in Progress
AGENT-ORIENTED INFORMATION SYSTEMS WORKSHOP;Work in Progress
ACADEMY OF MANAGEMENT ANNUAL MEETING;Work in Progress
ASPECT-ORIENTED SOFTWARE DEVELOPMENT;Not Rated (discontinued event)
ASIA-PACIFIC BIOINFORMATICS CONFERENCE;Work in Progress
ASIA PACIFIC CONFERENCE ON COMMUNICATIONS;Work in Progress
ASIA PACIFIC CONFERENCE ON CIRCUITS AND SYSTEMS;Work in Progress
ASIA-PACIFIC CONFERENCE ON CONCEPTUAL MODELLING;Work in Progress
ASIA-PACIFIC COMPUTER AND HUMAN INTERACTION;Work in Progress
APPLIED POWER ELECTRONICS CONFERENCE;Work in Progress
APPLIED PERCEPTION IN GRAPHICS AND VISUALIZATION;Work in Progress
INTERNATIONAL CONFERENCE ON APL;Work in Progress
ASIAN SYMPOSIUM ON PROGRAMMING LANGUAGES AND SYSTEMS;B-
ASIA-PACIFIC MICROWAVE CONFERENCE;Work in Progress
INTERNATIONAL SYMPOSIUM ON ADVANCED PACKAGING MATERIALS. PROCESSES, PROPERTIES AND INTERFACES;Work in Progress
ASIA-PACIFIC MAGNETIC RECORDING CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS;Work in Progress
ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM;Work in Progress
CONFERENCE OF THE ASSOCIATION OF ASIAN-PACIFIC OPERATIONAL RESEARCH SOCIETIES;Work in Progress
IEEE PES ASIA-PACIFIC POWER AND ENERGY ENGINEERING CONFERENCE;Work in Progress
INTERNATIONAL WORKSHOP ON APPROXIMATION ALGORITHMS FOR COMBINATORIAL OPTIMIZATION PROBLEMS;B
INTERNATIONAL WORKSHOP AND INTERNATIONAL WORKSHOP ON APPROXIMATION, RANDOMIZATION, AND COMBINATORIAL OPTIMIZATION. ALGORITHMS AND TECHNIQUES;Work in Progress
ASIA-PACIFIC SERVICES COMPUTING CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ADVANCES POWER SYSTEM CONTROL, OPERATION AND MANAGEMENT;Work in Progress
ASIA-PACIFIC SOFTWARE ENGINEERING CONFERENCE;B
ASIA-PACIFIC SIGNAL AND INFORMATION PROCESSING ASSOCIATION ANNUAL SUMMIT AND CONFERENCE;Work in Progress
ASIA-PACIFIC WORKSHOP ON SYSTEMS;Work in Progress
ASIA-PACIFIC WEB CONFERENCE;Work in Progress
WEB AND BIG DATA;Work in Progress
INTERNATIONAL SYMPOSIUM ON ADVANCED RESEARCH IN ASYNCHRONOUS CIRCUITS AND SYSTEMS;Work in Progress
APPLIED RECONFIGURABLE COMPUTING;Work in Progress
ARCHITECTURE OF COMPUTING SYSTEMS;Work in Progress
AVAILABILITY, RELIABILITY AND SECURITY;B
ARFTG MICROWAVE MEASUREMENT CONFERENCE;Work in Progress
IEEE SYMPOSIUM ON COMPUTER ARITHMETIC;Work in Progress
INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE AND ROBOTICS;Work in Progress
INTERNATIONAL CONFERENCE ON APPLIED ROBOTICS FOR POWER INDUSTRY;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS ROBOTS IN UNSTRUCTURED ENVIRONMENTS;Work in Progress
ADVANCED ROBOTICS AND ITS SOCIAL IMPACTS;Work in Progress
ADVANCES IN RECENT TECHNOLOGIES IN COMMUNICATION AND COMPUTING;Work in Progress
APPLICATION-SPECIFIC SYSTEMS, ARCHITECTURES, AND PROCESSORS;B
AUTOMATED SOFTWARE ENGINEERING;A
THE INTERNATIONAL POWER ELECTRONICS CONFERENCE - ECCE ASIA;Work in Progress
ASIA CONFERENCE ON INFORMATION, COMPUTER AND COMMUNICATIONS SECURITY;A
INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY;A+
ASIAN COMPUTING SCIENCE CONFERENCE;Not Rated (discontinued event)
INTERNATIONAL CONFERENCE ON ASIC;Work in Progress
INTERNATIONAL CONFERENCE ON ANTI-COUNTERFEITING, SECURITY, AND IDENTIFICATION;Work in Progress
ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY;Work in Progress
ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE;Work in Progress
ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING;B
NATIONAL CONFERENCE OF THE AUSTRALIAN SOCIETY FOR OPERATIONS RESEARCH;Work in Progress
ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE;B
CONFERENCE ON ADVANCED SIGNAL PROCESSING : ALGORITHMS, ARCHITECTURES, AND IMPLEMENATIONS;Work in Progress
ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS;A+
IEEE AUTOMATIC SPEECH RECOGNITION AND UNDERSTANDING WORKSHOP;B-
INTERNATIONAL ACM SIGACCESS CONFERENCE ON COMPUTERS AND ACCESSIBILITY;A-
AUTOMATION OF SOFTWARE TEST;Work in Progress
ASIAN SEMANTIC WEB CONFERENCE;Work in Progress
AUSTRALIAN SOFTWARE ENGINEERING CONFERENCE;Work in Progress
SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS;B-
AUTONOMIC AND TRUSTED COMPUTING;Work in Progress
ALGORITHMIC APPROACHES FOR TRANSPORTATION MODELING, OPTIMIZATION, AND SYSTEMS;Work in Progress
AUSTRALASIAN TELECOMMUNICATION NETWORKS AND APPLICATIONS CONFERENCE;Work in Progress
AMERICAN THORACIC SOCIETY INTERNATIONAL CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES FOR SIGNAL & IMAGE PROCESSING;Work in Progress
AUTOMATED TECHNOLOGY FOR VERIFICATION AND ANALYSIS;B-
AUSTRALASIAN USER INTERFACE CONFERENCE;Work in Progress
AUSTRALASIAN UNIVERSITIES POWER ENGINEERING CONFERENCE;Work in Progress
AUSTRALIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE;Work in Progress
AUSTRALASIAN DATA MINING CONFERENCE;Work in Progress
CELLULAR AUTOMATA THEORY AND APPLICATINS;Work in Progress
AUTOMOTIVE USER INTERFACES AND INTERACTIVE VEHICULAR APPLICATIONS;Work in Progress
AUTOTESTCON;Work in Progress
IEEE/OES AUTONOMOUS UNDERWATER VEHICLES;Work in Progress
SYMPOSIUM ON AUTONOMOUS UNDERWATER VEHICLE TECHNOLOGY;Work in Progress
ADVANCED VISUAL INTERFACES;B
ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE;B
ATLANTIC WEB INTELLIGENCE CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING AND COMMUNICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON PROBABILISTIC, COMBINATORIAL, AND ASYMPTOTIC METHODS IN THE ANALYSIS OF ALGORITHMS (WAS CONFERENCE ON ANALYSIS OF ALGORITHMS);Work in Progress
ARTSIT, INTERACTIVITY & GAME CREATION (WAS INTERNATIONAL CONFERENCE ON ARTS AND TECHNOLOGY);Work in Progress
AUSTRALASIAN SYMPOSIUM ON PARALLEL AND DISTRIBUTED COMPUTING (WAS AUSGRID);Work in Progress
IEEE/IFIP INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY FOR BALANCED AUTOMATION SYSTEMS;Work in Progress
ANNUAL BATTERY CONFERENCE ON APPLICATIONS AND ADVANCES;Work in Progress
ACM INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND COMPUTATIONAL BIOLOGY;Work in Progress
BRITISH COMPUTER SOCIETY CONFERENCE ON HUMAN-COMPUTER INTERACTION;Work in Progress
BIPOLAR/BICMOS CIRCUITS AND TECHNOLOGY MEETING;Work in Progress
IEEE/ACM INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING, APPLICATIONS AND TECHNOLOGIES;Work in Progress
BERKELEY WORKSHOP;Work in Progress
BIOMEDICAL AND HEALTH INFORMATICS;Work in Progress
BIOINFORMATICS AND BIOENGINEERING;Work in Progress
BIOINFORMATICS AND BIOMEDICINE;Work in Progress
ANNUAL INTERNATIONAL CONFERENCE ON BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES;Work in Progress
BRAIN-INSPIRED COGNITIVE SYSTEMS CONFERENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON BIG DATA;B
INTERNATIONAL CONFERENCE ON BIG DATA AND SMART COMPUTING;Work in Progress
INTERNATIONAL CONGRESS ON BIG DATA;Work in Progress
BIOMEDICAL CIRCUITS AND SYSTEMS CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON BIOMEDICAL ELECTRONICS AND DEVICES;Work in Progress
INTERNATIONAL CONFERENCE ON BIOINFORMATICS;Work in Progress
DATA MINING IN BIOINFORMATICS;Work in Progress
BIOMEDICAL ENGINEERING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON BIOMEDICAL ROBOTICS AND BIOMECHATRONICS;Work in Progress
INTERNATIONAL CONFERENCE ON BIO-INSPIRED SYSTEMS AND SIGNAL PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON PERSPECTIVES IN BUSINESS INFORMATICS RESEARCH;Work in Progress
INTERNATIONAL WORKSHOP ON BUSINESS INTELLIGENCE FOR THE REAL TIME ENTERPRISE;Work in Progress
BUSINESS INFORMATION SYSTEMS;Work in Progress
BLED ECONFERENCE;Work in Progress
BIOMEDICAL ENGINEERING AND INFORMATICS;Work in Progress
INTERNATIONAL SYMPOSIUM ON BROADBAND MULTIMEDIA SYSTEMS AND BROADCASTING;Work in Progress
BRITISH MACHINE VISION CONFERENCE;A
BRITISH NATIONAL CONFERENCE ON DATABASES;Work in Progress
INTERNATIONAL CONFERENCE ON BODY AREA NETWORKS;Work in Progress
BRAZILIAN POWER ELECTRONICS CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE IN BUSINESS PROCESS MANAGEMENT;A
BROADBAND COMMUNICATIONS, NETWORKS AND SYSTEMS;B-
BRAZILIAN SYMPOSIUM ON BIOINFORMATICS;Work in Progress
BIENNIAL SYMPOSIUM ON COMMUNICATIONS;Work in Progress
BODY SENSOR NETWORKS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON BIOMETRICS: THEORY, APPLICATIONS AND SYSTEMS;A-
WORKSHOP ON BEYOND TIME AND ERRORS;Work in Progress
DATENBANKSYSTEME FÜR BUSINESS, TECHNOLOGIE UND WEB;Work in Progress
BROADBAND AND WIRELESS COMPUTING, COMMUNICATION AND APPLICATIONS;Work in Progress
HUMAN LANGUAGE TECHNOLOGIES - THE BALTIC PERSPECTIVE;Work in Progress
CREATIVITY AND COGNITION;Work in Progress
COMMUNITIES AND TECHNOLOGIES;Work in Progress
HYPERCUBE CONCURRENT COMPUTERS AND APPLICATIONS;Work in Progress
CONFERENCE ON CREATING, CONNECTING AND COLLABORATING THROUGH COMPUTING;Work in Progress
COMPUTER-AIDED ARCHITECTURAL DESIGN FUTURES;Work in Progress
ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA (CAADRIA) ANNUAL CONFERENCE;Work in Progress
WORKSHOP ON COMBINATORIAL AND ALGORITHMIC ASPECTS OF NETWORKING;Work in Progress
COLLOQUIUM ON TREES IN ALGEBRA AND PROGRAMMING;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER AIDED CONTROL SYSTEM DESIGN;Work in Progress
COMPUTER-AIDED DESIGN AND COMPUTER GRAPHICS;Work in Progress
INTERNATIONAL JOINT CONFERENCE ON AUTOMATED REASONING;A-
ISCA INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS;B-
INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING;A
CONFERENCE ON ALGEBRA AND COALGEBRA IN COMPUTER SCIENCE;Work in Progress
COMPUTER AIDED MODELING AND DESIGN OF COMMUNICATION LINKS AND NETWORKS;Work in Progress
IEEE INTERNATIONAL WORKSHOP ON COMPUTATIONAL ADVANCES IN MULTI-SENSOR ADAPTIVE PROCESSING;Work in Progress
CRYPTOLOGY AND NETWORK SECURITY;Work in Progress
SMART CARD RESEARCH AND ADVANCED APPLICATION CONFERENCE;B-
COMPUTER ASSISTED RADIOLOGY AND SURGERY;Work in Progress
COMPUTER ALGEBRA IN SCIENTIFIC COMPUTING;Work in Progress
CONFERENCE OF THE CENTRE FOR ADVANCED STUDIES ON COLLABORATIVE RESEARCH;B
WORKSHOP ON COMPUTER-AIDED SOFTWARE ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS;B
COMPUTATIONAL ASPECTS OF SOCIAL NETWORKS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS;Work in Progress
COMPUTER AIDED VERIFICATION;A+
COMPUTER ANIMATION, INFORMATION VISUALISATION, AND DIGITAL EFFECTS;Work in Progress
IEEE CONFERENCE ON BUSINESS INFORMATICS;Work in Progress
CONTENT-BASED MULTIMEDIA INDEXING;Work in Progress
COMPUTER-BASED MEDICAL SYSTEMS;B
CHINESE CONFERENCE ON BIOMETRIC RECOGNITION;Work in Progress
COMPONENT-BASED SOFTWARE ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION;B
IEEE INTERNATIONAL CONFERENCE ON CONTROL APPLICATIONS;B-
IEEE CONFERENCE ON COMPUTATIONAL COMPLEXITY;A
CANADIAN CONFERENCE ON COMPUTATIONAL GEOMETRY;Work in Progress
CHINESE CONTROL AND DECISION CONFERENCE;Work in Progress
CANADIAN CONFERENCE ON ELECTRICAL AND COMPUTER ENGINEERING;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING IN EMERGING MARKETS;Work in Progress
CLUSTER COMPUTING AND THE GRID;A
IEEE CONSUMER COMMUNICATIONS AND NETWORKING CONFERENCE;B
ACM CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY;A++
CONFERENCE ON COMPUTATIONAL STRUCTURES TECHNOLOGY;Work in Progress
CLOUD COMPUTING SECURITY WORKSHOP;Work in Progress
IEEE COMPUTER COMMUNICATIONS WORKSHOP;Not Rated (discontinued event)
IEEE ANNUAL COMPUTING AND COMMUNICATION WORKSHOP AND CONFERENCE;Work in Progress
IFIP/ACM WORKING CONFERENCE ON COMPONENT DEPLOYMENT;Not Rated (discontinued event)
INTERNATIONAL CROSS-DOMAIN CONFERENCE FOR MACHINE LEARNING AND KNOWLEDGE EXTRACTION;Work in Progress
CONFERENCE ON DECISION AND CONTROL;A-
COOPERATIVE DISTRIBUTED SYSTEMS;Work in Progress
COOPERATIVE DESIGN, VISUALIZATION AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND APPLICATIONS;Work in Progress
CONFERENCE ON EMAIL AND ANTI-SPAM;Not Rated (discontinued event)
IEEE CONGRESS ON EVOLUTIONARY COMPUTATION;A-
INTERNATIONAL CONFERENCE ON COMPUTER AND ELECTRICAL ENGINEERING;Work in Progress
IEEE CONFERENCE ON ELECTROMAGNETIC FIELD COMPUTATION;Work in Progress
CONFERENCE ON ELECTRICAL INSULATION AND DIELECTRIC PHENOMENA;Work in Progress
INFORMATION SECURITY SYMPOSIUM;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND TECHNOLOGY;Work in Progress
ACM INTERNATIONAL CONFERENCE ON COMPUTING FRONTIERS;B-
CONFERENCE ON THE FUTURE OF THE INTERNET;Work in Progress
COMPUTERS, FREEDOM AND PRIVACY;Work in Progress
COMPUTER GAMES;Work in Progress
COMPUTER GRAPHICS INTERNATIONAL;B-
INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS, IMAGING AND VISUALISATION;Work in Progress
IEEE/ACM INTERNATIONAL SYMPOSIUM ON CODE GENERATION AND OPTIMIZATION;A
COOPERATIVE AND HUMAN ASPECTS OF SOFTWARE ENGINEERING;Work in Progress
WORKSHOP ON CRYPTOGRAPHIC HARDWARE AND EMBEDDED SYSTEMS;A+
ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY;Work in Progress
CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS;A++
CONFERENCE ON HUMAN INFORMATION INTERACTION AND RETRIEVAL;Work in Progress
INTERNATIONAL ICST CONFERENCE ON COMMUNICATIONS AND NETWORKING IN CHINA;Work in Progress
NEW ZEALAND CHAPTER'S INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION RESEARCH AND APPLICATIONS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTERS FOR HANDICAPPED PERSONS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS;Work in Progress
